,x,y,class,realclass
214,0.5877592354272737,0.734756394637586,0,0
210,0.2298139800395419,0.25234925498584027,0,0
42,0.26964017531849394,0.48197232260932776,0,0
50,0.2624955090882962,0.8982239174247237,0,0
34,0.7033197579781679,0.12611039444299788,1,1
232,0.07383187256388046,0.11182282737101068,1,1
92,0.1588679040985248,0.20516984737099608,1,1
132,0.31845368366491755,0.7944985968188587,0,0
276,0.13889777103967804,0.40008811182488924,0,0
206,0.1718836978822672,0.6492345863587997,0,0
236,0.7629463875627694,0.6688255572083407,0,0
286,0.6935673532827562,0.2615651970011589,1,1
258,0.6572855417491338,0.2557780228878952,1,1
122,0.31848873691996094,0.5511822065497508,0,0
148,0.07182774189393948,0.24988995169588002,1,1
292,0.23707063768105796,0.31864132142340873,0,0
104,0.8465615080072596,0.9059366223738295,0,0
92,0.1588679040985248,0.20516984737099608,1,1
26,0.47339708164816596,0.9795498501702998,1,0
4,0.9307729610869862,0.8900883067506515,1,0
264,0.7233678217869768,0.8396916169681932,0,0
188,0.13001048954005956,0.5384903632462572,0,0
94,0.8473875895186477,0.031624637048904725,1,1
164,0.24857983074451162,0.2787743567112133,0,0
208,0.06373439286187332,0.4494210417052549,0,0
136,0.01120348606530952,0.0215494766415375,1,1
70,0.06203326777409135,0.6519463763828255,0,0
156,0.43929082745770964,0.2630753614553992,1,1
198,0.23980869353374112,0.9252180921527372,0,0
68,0.9129793664968484,0.8489043287952692,0,0
132,0.31845368366491755,0.7944985968188587,0,0
252,0.14058184109494154,0.7596164740893725,0,0
130,0.8088336208496899,0.45145732695778595,1,1
60,0.2555470463650257,0.7562156460506588,0,0
272,0.19807283877751392,0.5098963406925424,0,0
244,0.7702579851524385,0.9830223698031771,0,0
58,0.9488936540796159,0.004626733445517783,1,1
36,0.4082342548346405,0.06524824771572624,1,1
34,0.7033197579781679,0.12611039444299788,1,1
296,0.3199764651263568,0.7594534405909926,0,0
44,0.0155030510401023,0.5726939300774938,0,0
122,0.31848873691996094,0.5511822065497508,0,0
154,0.17581464706318572,0.08413470182410632,1,1
58,0.9488936540796159,0.004626733445517783,1,1
242,0.11267703292356612,0.37640381146861723,0,0
34,0.7033197579781679,0.12611039444299788,1,1
154,0.17581464706318572,0.08413470182410632,1,1
10,0.11287225032758108,0.189641167528792,0,1
148,0.07182774189393948,0.24988995169588002,1,1
112,0.37134026517980323,0.2984263029725157,0,0
158,0.7782015678254757,0.9926728257034352,0,0
94,0.8473875895186477,0.031624637048904725,1,1
44,0.0155030510401023,0.5726939300774938,0,0
204,0.7851512371499222,0.13356761115169302,1,1
2,0.44791979980060215,0.5215678131773184,1,0
106,0.8075775971047588,0.13007250415760707,1,1
4,0.9307729610869862,0.8900883067506515,1,0
152,0.7874182101095152,0.5025401511465452,1,1
244,0.7702579851524385,0.9830223698031771,0,0
112,0.37134026517980323,0.2984263029725157,0,0
182,0.9777708116902457,0.5524661093932397,1,1
268,0.2256885899241391,0.2927614609219803,0,0
36,0.4082342548346405,0.06524824771572624,1,1
278,0.9147193604352752,0.3594551008729968,1,1
2,0.44791979980060215,0.5215678131773184,1,0
64,0.9086961928615361,0.5872093167813265,1,1
158,0.7782015678254757,0.9926728257034352,0,0
92,0.1588679040985248,0.20516984737099608,1,1
108,0.6103767287124373,0.7430945490697728,0,0
4,0.9307729610869862,0.8900883067506515,1,0
224,0.07895562714808257,0.8289246682400296,0,0
160,0.4136126112071822,0.5003343677331088,0,0
68,0.9129793664968484,0.8489043287952692,0,0
18,0.07616900754057931,0.44263978685120675,1,0
10,0.11287225032758108,0.189641167528792,0,1
128,0.7289548844129679,0.5148265315100035,1,1
48,0.5359957138140486,0.5721989560344781,0,0
4,0.9307729610869862,0.8900883067506515,1,0
22,0.3320191775455632,0.1469813995279532,0,1
14,0.6308905941545847,0.9026286172291513,1,0
246,0.31933024953544475,0.781621448412346,0,0
38,0.621758183507342,0.07195307344258506,1,1
168,0.27891151502184885,0.5371188867163268,0,0
12,0.3873081336593579,0.49827767702492076,1,0
270,0.8654848980805689,0.4846352817613585,1,1
10,0.11287225032758108,0.189641167528792,0,1
296,0.3199764651263568,0.7594534405909926,0,0
92,0.1588679040985248,0.20516984737099608,1,1
26,0.47339708164816596,0.9795498501702998,1,0
190,0.4629425414683851,0.5495302435608052,0,0
160,0.4136126112071822,0.5003343677331088,0,0
22,0.3320191775455632,0.1469813995279532,0,1
170,0.29854772341410396,0.01615660480240355,1,1
88,0.14566607255308062,0.2066440037135846,1,1
164,0.24857983074451162,0.2787743567112133,0,0
26,0.47339708164816596,0.9795498501702998,1,0
194,0.3948054424265498,0.02261144050937558,1,1
246,0.31933024953544475,0.781621448412346,0,0
236,0.7629463875627694,0.6688255572083407,0,0
82,0.2564800508545525,0.4692623687856474,0,0
252,0.14058184109494154,0.7596164740893725,0,0
92,0.1588679040985248,0.20516984737099608,1,1
258,0.6572855417491338,0.2557780228878952,1,1
46,0.6681552358686719,0.43216195989740336,1,1
162,0.6030272800276109,0.5615510909871484,0,0
94,0.8473875895186477,0.031624637048904725,1,1
278,0.9147193604352752,0.3594551008729968,1,1
276,0.13889777103967804,0.40008811182488924,0,0
136,0.01120348606530952,0.0215494766415375,1,1
190,0.4629425414683851,0.5495302435608052,0,0
248,0.6605199825386454,0.9958465332162223,0,0
250,0.8191363703341931,0.4909568834770861,1,1
234,0.21444387792828123,0.41783226630655723,0,0
218,0.33929441393784054,0.6687492734961009,0,0
258,0.6572855417491338,0.2557780228878952,1,1
64,0.9086961928615361,0.5872093167813265,1,1
188,0.13001048954005956,0.5384903632462572,0,0
6,0.14067106021701203,0.3644395027287455,1,0
80,0.024044327167412116,0.2296423052922314,1,1
108,0.6103767287124373,0.7430945490697728,0,0
86,0.9757744817500839,0.49387382620889264,1,1
128,0.7289548844129679,0.5148265315100035,1,1
120,0.7737893602916518,0.7304841788882583,0,0
222,0.8512774309357568,0.6890743263961122,0,0
140,0.6811053320620737,0.37155492362436493,1,1
298,0.11995263135765322,0.14032054577175146,1,1
292,0.23707063768105796,0.31864132142340873,0,0
250,0.8191363703341931,0.4909568834770861,1,1
104,0.8465615080072596,0.9059366223738295,0,0
54,0.5014738887016406,0.6857854504414365,0,0
116,0.9635873290356904,0.25318694282332,1,1
8,0.22647529063859462,0.5162717339583857,1,0
280,0.09154557778026284,0.6422408600019854,0,0
218,0.33929441393784054,0.6687492734961009,0,0
88,0.14566607255308062,0.2066440037135846,1,1
292,0.23707063768105796,0.31864132142340873,0,0
262,0.5988276605346023,0.49682426841070926,1,1
80,0.024044327167412116,0.2296423052922314,1,1
140,0.6811053320620737,0.37155492362436493,1,1
200,0.3136361609077407,0.5317252284200907,0,0
2,0.44791979980060215,0.5215678131773184,1,0
190,0.4629425414683851,0.5495302435608052,0,0
294,0.030823635253108606,0.6680527193194903,0,0
150,0.9918999557552667,0.6737247713105368,0,0
150,0.9918999557552667,0.6737247713105368,0,0
