,nets
0,278
1,51
2,282
3,122
4,129
5,91
6,299
7,251
8,191
9,94
10,23
11,184
12,223
13,280
14,138
15,8
16,248
17,243
18,255
19,38
20,204
21,47
22,57
23,261
24,114
25,269
26,166
27,6
28,48
29,175
30,28
31,3
32,290
33,67
34,123
35,62
36,167
37,148
38,140
39,250
40,43
41,83
42,118
43,216
44,264
45,202
46,235
47,71
48,268
49,16
50,187
51,61
52,285
53,117
54,42
55,211
56,34
57,137
58,214
59,93
60,101
61,147
62,76
63,81
64,134
65,4
66,18
67,281
68,274
69,266
70,220
71,99
72,110
73,144
74,219
75,230
76,103
77,1
78,70
79,247
80,90
81,188
82,265
